symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
TH,Target Hospitality Corp. Common Stock,2099,2018-03-12,2026-07-17,62.60554764400547,3654228.0488967896,1629218224.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
THRY,"Thryv Holdings, Inc. Common Stock",2073,2018-04-18,2026-07-17,87.00165546708718,4217987.936210632,170524927.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TIL,"Instil Bio, Inc. Common Stock",1338,2021-03-19,2026-07-17,81.95535444172377,572026.4880180359,50322262.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TKNO,"Alpha Teknova, Inc. Common Stock",1270,2021-06-25,2026-07-17,81.19641367114588,680615.5331134796,290588032.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TLSI,"TriSalus Life Sciences, Inc. Common Stock",1366,2021-02-08,2026-07-17,82.07092371271769,642229.0202140808,263476935.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TMCI,"Treace Medical Concepts, Inc. Common Stock",1314,2021-04-23,2026-07-17,85.48388952984286,1790653.4428358078,278953797.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TNXP,Tonix Pharmaceuticals Holding Corp. Common Stock,2514,2016-07-18,2026-07-17,86.08376719323985,8661878.588199615,198144156.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TOI,"The Oncology Institute, Inc. Common Stock",1537,2020-06-04,2026-07-17,76.41073786647135,6320727.043390274,534908692.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
TRDA,"Entrada Therapeutics, Inc. Common Stock",1182,2021-10-29,2026-07-17,85.57710014818583,1888721.9955682757,267474044.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TTEC,"TTEC Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,87.01772312630881,1078634.995687008,105102103.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
TTGT,"TechTarget, Inc. Common Stock",2514,2016-07-18,2026-07-17,71.76688183574103,2218833.064186573,268953928.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
