symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
BEAT,"Heartbeam, Inc. Common Stock",1173,2021-11-11,2026-07-17,152.79347032102936,422396.00603580475,31028321.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BGDE,"Big Digital Energy, Inc. Common Stock",2514,2016-07-18,2026-07-17,188.61594684326656,650548.5051870346,31526349.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BGL,Blue Gold Limited Class A Ordinary Shares,266,2025-06-26,2026-07-17,167.28899564791982,675684.4912648201,8657608.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,2091,2018-03-22,2026-07-17,102.19603589792332,427083.50735753775,22136206.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BIRD,"Smartbird, Inc. Class A Common Stock",1179,2021-11-03,2026-07-17,593.5362672867178,403180.99665641785,23776338.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BLNE,"Beeline Holdings, Inc. Common Stock",2397,2017-01-03,2026-07-17,136.34667495432225,1724549.5126783848,30661664.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BLNK,Blink Charging Co. Common Stock,2514,2016-07-18,2026-07-17,94.26923080217476,2109037.5420928,79097084.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BLZE,"Backblaze, Inc. Class A Common Stock",1173,2021-11-11,2026-07-17,105.08369160059294,4250617.539525032,793200000.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
BNAI,Brand Engagement Network Inc. Common Stock,1311,2021-04-28,2026-07-17,368.9773846248423,3830220.0359010696,75619323.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BNC,CEA Industries Inc. Common Stock,2514,2016-07-18,2026-07-17,566.5003777809195,1910819.4534778595,120903081.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BNKK,"Bonk, Inc. Common Stock",1433,2020-10-30,2026-07-17,164.09538269281924,669701.603992939,9681137.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BNZI,"Banzai International, Inc. Class A Common Stock",1362,2021-02-12,2026-07-17,157.19636069001555,787981.4948415756,7228864.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BRR,"ProCap Financial, Inc. Common Stock",278,2025-06-09,2026-07-17,95.36388967312544,1934489.4622921944,181147048.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BTAI,"BioXcel Therapeutics, Inc. Common Stock",2101,2018-03-08,2026-07-17,144.62090314510857,1047128.0000209808,27400787.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BTOG,Bit Origin Limited Class A Ordinary Shares,1739,2019-08-15,2026-07-17,131.18824036030205,374903.499450922,1366670.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BWEN,"Broadwind, Inc. Common Stock",2514,2016-07-18,2026-07-17,152.9706013330206,501821.4986085892,112807839.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
BZAI,"Blaize Holdings, Inc. Common Stock",1119,2022-01-31,2026-07-17,137.95050304496863,5624777.455997467,153678926.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CABA,"Cabaletta Bio, Inc. Common Stock",1689,2019-10-25,2026-07-17,104.16606307893836,6227589.14244175,461445073.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CBUS,"Cibus, Inc. Class A Common Stock",2260,2017-07-20,2026-07-17,108.66392056501898,413322.9941010475,136633625.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CCCC,"C4 Therapeutics, Inc. Common Stock",1453,2020-10-02,2026-07-17,97.40636182099168,4192303.069448471,407993049.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CD,Chaince Digital Holdings Inc. Ordinary Shares,2514,2016-07-18,2026-07-17,187.06183773566931,1036044.0137386322,246275780.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CDLX,"Cardlytics, Inc. Common Stock",2119,2018-02-09,2026-07-17,152.08934947754008,917638.2428312302,24276867.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CETX,Cemtrex Inc. Common Stock,2514,2016-07-18,2026-07-17,199.30473474778304,731455.511932373,4647081.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CGTX,"Cognition Therapeutics, Inc. Common Stock",1197,2021-10-08,2026-07-17,130.98553255484896,1459974.9894738195,85989693.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CHRN,ChronoScale Holdings Corporation Common Stock,2514,2016-07-18,2026-07-17,142.1856221461531,537735.0146770477,3838027825.0,高波动,中流动性,中盘（2B–10B）,历史≥1年,中流动性－高波动
CING,Cingulate Inc. Common Stock,1155,2021-12-08,2026-07-17,93.47441239127856,1269769.4621801376,61149423.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CLNN,Clene Inc. Common Stock,1945,2018-10-18,2026-07-17,109.84765342522871,503212.5025033951,75647577.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CLPT,"ClearPoint Neuro, Inc. Common Stock",2514,2016-07-18,2026-07-17,105.01205233331336,7217457.369327546,454341879.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CLYM,"Climb Bio, Inc. Common Stock",1239,2021-08-10,2026-07-17,98.95977211675904,2835788.990151882,727240392.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CMPX,"Compass Therapeutics, Inc. Common Stock",1328,2021-04-05,2026-07-17,92.50591273504394,8192450.455451012,369180226.0,高波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－高波动
CMTL,Comtech Telecommunications Corp. Common Stock,2514,2016-07-18,2026-07-17,92.75882428799248,805964.994853735,48387711.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CNTN,"Canton Strategic Holdings, Inc. Common Stock",1131,2022-01-12,2026-07-17,246.912665388729,1621447.4987387655,177381943.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
CNTX,Context Therapeutics Inc. Common Stock,1189,2021-10-20,2026-07-17,102.21295004915643,1056236.493062973,55127506.0,高波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－高波动
