symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
RDVT,"Red Violet, Inc. Common Stock ",2088,2018-03-27,2026-07-17,45.84837835245293,4306009.885406494,920042738.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
RDWR,Radware Ltd. Ordinary Shares,2514,2016-07-18,2026-07-17,36.17613162513408,4715483.62569809,1281478121.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
REFI,"Chicago Atlantic Real Estate Finance, Inc. Common Stock",1155,2021-12-08,2026-07-17,25.35068023370981,1537242.4967765808,225220761.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
RGP,"Resources Connection, Inc. Common Stock",2514,2016-07-18,2026-07-17,47.12236913184406,1482422.027206421,159288156.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
RICK,"RCI Hospitality Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,49.35405682304966,1958686.0098838808,200133010.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
RMNI,"Rimini Street, Inc. (DE) Common Stock",2514,2016-07-18,2026-07-17,50.56612199538664,1196209.5232844353,429478400.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
RMR,The RMR Group Inc. Class A Common Stock,2514,2016-07-18,2026-07-17,28.129959037745746,2403737.994289398,641767384.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
RNW,ReNew Energy Global plc Class A Ordinary Shares,1371,2021-02-01,2026-07-17,39.72552824303827,5672981.120276451,2281817916.0,低波动,中流动性,中盘（2B–10B）,历史≥1年,中流动性－低波动
RRBI,"Red River Bancshares, Inc. Common Stock",1811,2019-05-03,2026-07-17,26.78287847169615,3203801.954269409,643522340.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
RSVR,"Reservoir Media, Inc. Common Stock",1389,2021-01-05,2026-07-17,30.19161856575804,489629.0093898773,671062717.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
RTAC,Renatus Tactical Acquisition Corp I Class A Ordinary Shares,278,2025-06-09,2026-07-17,14.147340956044388,1477211.9693756104,,低波动,中流动性,市值未知,历史≥1年,中流动性－低波动
RWAY,Runway Growth Finance Corp. Common Stock,1188,2021-10-21,2026-07-17,29.913664266666544,3092950.55809021,239075394.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
SAFT,"Safety Insurance Group, Inc. Common Stock",2514,2016-07-18,2026-07-17,19.58557677668309,5932438.550567627,1088629797.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SAMG,Silvercrest Asset Management Group Inc. Class A Common Stock,2514,2016-07-18,2026-07-17,32.972057126543305,401478.49197387695,117885282.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
SCSC,"ScanSource, Inc. Common Stock",2514,2016-07-18,2026-07-17,38.282023132704104,8337760.459327698,1113580944.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SENEA,Seneca Foods Corp. Class A Common Stock,2514,2016-07-18,2026-07-17,38.85979548544737,9004137.702178955,1151584140.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SFST,"Southern First Bancshares, Inc. Common Stock",2514,2016-07-18,2026-07-17,31.65964020928244,2551648.467063904,588111263.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SGC,"Superior Group of Companies, Inc. Common Stock",2514,2016-07-18,2026-07-17,48.45816066593,414245.99385261536,208714554.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
SHBI,Shore Bancshares Inc Common Stock,2514,2016-07-18,2026-07-17,26.175866083754535,3183750.411605835,775508481.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SHEN,Shenandoah Telecommunications Co Common Stock,2514,2016-07-18,2026-07-17,38.77766436474177,3914663.925552368,629564371.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SHIP,Seanergy Maritime Holdings Corp. Common Stock,2514,2016-07-18,2026-07-17,43.81859159925527,1885970.5318927765,303571454.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SHOE,"Shoe Station Group, Inc. Common Stock",2514,2016-07-18,2026-07-17,50.6751549155504,7927143.649101257,393422453.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SIBN,"SI-BONE, Inc. Common Stock",1946,2018-10-17,2026-07-17,50.335441044293106,7415697.923374176,770790539.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SLP,"Simulations Plus, Inc. Common Stock",2514,2016-07-18,2026-07-17,50.20904269883603,5355400.977611542,368698797.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SLRC,SLR Investment Corp. Common Stock,2514,2016-07-18,2026-07-17,24.49268246467171,4117434.909343719,715756798.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SMBC,"Southern Missouri Bancorp, Inc. Common Stock",2514,2016-07-18,2026-07-17,25.248604707918076,3312627.4003982544,853050542.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SPFI,"South Plains Financial, Inc. Common Stock",1807,2019-05-09,2026-07-17,25.879365583803622,2783868.3992385864,879938854.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SPOK,"Spok Holdings, Inc. Common Stock",2514,2016-07-18,2026-07-17,30.419874583424296,1943166.954278946,222237786.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
SRBK,"SR Bancorp, Inc. Common stock",708,2023-09-20,2026-07-17,19.162039593805584,512851.98860168457,163791946.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
SRCE,1st Source Corporation Common Stock,2514,2016-07-18,2026-07-17,21.17295200107315,6678144.955825806,2009271021.0,低波动,中流动性,中盘（2B–10B）,历史≥1年,中流动性－低波动
STBA,"S&T Bancorp, Inc. Common Stock",2514,2016-07-18,2026-07-17,23.51176989392351,7829769.080734253,1797764993.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
STRT,STRATTEC SECURITY CORPORATION Common Stock,2514,2016-07-18,2026-07-17,48.76577917340199,4554737.586212158,344165886.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SWBI,"Smith & Wesson Brands, Inc. Common Stock",2514,2016-07-18,2026-07-17,44.75831054607773,6184919.95382309,664644230.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
SWIM,"Latham Group, Inc. Common Stock",1314,2021-04-23,2026-07-17,46.700792812979486,3888133.484530449,691554259.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
TACO,Berto Acquisition Corp. Ordinary Shares,280,2025-06-05,2026-07-17,5.474836720360885,539422.0060348511,382643436.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
TALK,"Talkspace, Inc. Common Stock",1498,2020-07-30,2026-07-17,43.88727198726013,5467915.51296711,872740469.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
TBCH,Turtle Beach Corporation Common Stock,2514,2016-07-18,2026-07-17,43.78171214681995,3033713.9515399933,258214947.0,低波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－低波动
TBLA,Taboola.com Ltd. Ordinary Shares,1267,2021-06-30,2026-07-17,47.4327849585778,5634871.975290775,1443152579.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
TBPH,"Theravance Biopharma, Inc. Ordinary Shares",2514,2016-07-18,2026-07-17,46.454429095127935,6710717.687320709,872792375.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
TCBK,TriCo Bancshares Common Stock,2514,2016-07-18,2026-07-17,26.712921563785375,5410211.947631836,1931228907.0,低波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－低波动
