symbol,name,lastsale,netchange,pctchange,marketCap,url,yahoo_symbol
ADMA,ADMA Biologics Inc Common Stock,$8.71,-0.10,-1.135%,"2,023,544,505",/market-activity/stocks/adma,ADMA
ADP,"Automatic Data Processing, Inc. Common Stock",$255.265,-1.295,-0.505%,"102,781,013,576",/market-activity/stocks/adp,ADP
ADPT,Adaptive Biotechnologies Corporation Common Stock,$22.92,0.82,3.71%,"3,668,217,465",/market-activity/stocks/adpt,ADPT
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$12.00,UNCH,--,"864,024,612",/market-activity/stocks/adse,ADSE
ADSK,"Autodesk, Inc. Common Stock",$218.35,1.29,0.594%,"46,071,850,000",/market-activity/stocks/adsk,ADSK
ADTN,"ADTRAN Holdings, Inc. Common Stock",$11.65,-0.06,-0.512%,"943,627,865",/market-activity/stocks/adtn,ADTN
ADUR,Aduro Clean Technologies Inc. Common Stock,$13.17,0.39,3.052%,"465,075,226",/market-activity/stocks/adur,ADUR
ADUS,Addus HomeCare Corporation Common Stock,$114.52,0.70,0.615%,"2,137,490,148",/market-activity/stocks/adus,ADUS
ADV,Advantage Solutions Inc. Class A Common Stock,$38.22,-1.13,-2.872%,"508,145,602",/market-activity/stocks/adv,ADV
ADVB,Advanced Biomed Inc. Common Stock,$5.03,0.13,2.653%,"8,310,229",/market-activity/stocks/advb,ADVB
AEBI,Aebi Schmidt Holding AG Common Stock ,$12.76,-0.46,-3.48%,"990,168,140",/market-activity/stocks/aebi,AEBI
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$0.8306,-0.0373,-4.298%,"15,077,421",/market-activity/stocks/aehl,AEHL
AEHR,Aehr Test Systems Common Stock,$81.05,-3.15,-3.741%,"2,602,033,901",/market-activity/stocks/aehr,AEHR
AEI,Alset Inc. Common Stock (TX),$1.19,UNCH,--,"46,286,038",/market-activity/stocks/aei,AEI
AEIS,"Advanced Energy Industries, Inc. Common Stock",$284.05,-1.84,-0.644%,"10,802,608,121",/market-activity/stocks/aeis,AEIS
AEMD,"Aethlon Medical, Inc. Common Stock",$0.6474,-0.0227,-3.388%,"1,704,967",/market-activity/stocks/aemd,AEMD
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,$5.78,0.03,0.522%,"294,662,261",/market-activity/stocks/aent,AENT
AEP,"American Electric Power Company, Inc. Common Stock",$132.14,-0.99,-0.744%,"71,898,038,928",/market-activity/stocks/aep,AEP
AESP,Aeon Acquisition I Corp. Class A Ordinary Shares,$9.89,UNCH,--,NA,/market-activity/stocks/aesp,AESP
AEVA,"Aeva Technologies, Inc. Common Stock",$16.71,-0.065,-0.387%,"1,053,412,119",/market-activity/stocks/aeva,AEVA
AEYE,"AudioEye, Inc. Common Stock",$6.61,-0.24,-3.504%,"82,581,473",/market-activity/stocks/aeye,AEYE
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",$22.74,0.04,0.176%,"138,597,685",/market-activity/stocks/afbi,AFBI
AFCG,Advanced Flower Capital Inc. Common Stock,$2.81,-0.11,-3.767%,"66,116,052",/market-activity/stocks/afcg,AFCG
AFRI,Forafric Global PLC Ordinary Shares,$10.85,0.34,3.235%,"292,557,393",/market-activity/stocks/afri,AFRI
AFRM,"Affirm Holdings, Inc. Class A Common Stock",$76.07,-3.77,-4.722%,"25,475,733,840",/market-activity/stocks/afrm,AFRM
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,$15.50,0.54,3.61%,"577,940,750",/market-activity/stocks/agcc,AGCC
AGEN,Agenus Inc. Common Stock,$5.01,0.01,0.20%,"208,628,579",/market-activity/stocks/agen,AGEN
AGIO,"Agios Pharmaceuticals, Inc. Common Stock",$39.61,0.89,2.299%,"2,355,670,432",/market-activity/stocks/agio,AGIO
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,$1.03,-0.0489,-4.532%,"3,603,899",/market-activity/stocks/agmh,AGMH
AGNC,AGNC Investment Corp. Common Stock,$11.22,-0.21,-1.837%,"12,879,766,432",/market-activity/stocks/agnc,AGNC
AGNT,"AGNT, Inc. Common Stock",$4.58,-0.10,-2.137%,"752,603,572",/market-activity/stocks/agnt,AGNT
AGPU,Axe Compute Inc. Common Stock,$6.87,0.11,1.627%,"78,214,538",/market-activity/stocks/agpu,AGPU
AGRZ,Agroz Inc. Ordinary Shares,$0.337,-0.006,-1.749%,"6,882,714",/market-activity/stocks/agrz,AGRZ
AGYS,"Agilysys, Inc. Common Stock (DE)",$106.68,-3.35,-3.045%,"3,004,815,982",/market-activity/stocks/agys,AGYS
AHCO,AdaptHealth Corp. Common Stock,$10.96,0.06,0.55%,"1,491,153,506",/market-activity/stocks/ahco,AHCO
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,$1.72,UNCH,--,"51,127,000",/market-activity/stocks/ahma,AHMA
AIAI,AIAI Holdings Corporation Class A Common Stock,$6.99,0.06,0.866%,"491,494,790",/market-activity/stocks/aiai,AIAI
AIDX,"20/20 Biolabs, Inc. Common Stock",$0.5176,-0.0122,-2.303%,"6,341,220",/market-activity/stocks/aidx,AIDX
AIFA,"All In FutureTech Alliance, Inc. Common Stock",$2.05,-0.03,-1.442%,"13,073,918",/market-activity/stocks/aifa,AIFA
AIFC,AI Financial Corporation Common Stock,$0.5545,0.0087,1.594%,"77,539,345",/market-activity/stocks/aifc,AIFC
AIFF,"Firefly Neuroscience, Inc. Common Stock",$1.15,UNCH,--,"17,946,694",/market-activity/stocks/aiff,AIFF
AIHS,Senmiao Technology Limited Common Stock,$1.31,0.06,4.80%,"19,070,311",/market-activity/stocks/aihs,AIHS
AIIO,Robo.ai Inc. Class B Ordinary Shares,$3.95,-0.20,-4.819%,"683,868,268",/market-activity/stocks/aiio,AIIO
AIIR,Air Global PLC Ordinary Shares,$6.05,-0.11,-1.786%,"970,338,942",/market-activity/stocks/aiir,AIIR
AIMD,"Ainos, Inc. Common Stock",$1.65,-0.05,-2.941%,"14,065,494",/market-activity/stocks/aimd,AIMD
AIOT,"PowerFleet, Inc. Common Stock",$4.23,0.01,0.237%,"567,585,114",/market-activity/stocks/aiot,AIOT
AIP,"Arteris, Inc. Common Stock",$31.04,0.01,0.032%,"1,433,178,321",/market-activity/stocks/aip,AIP
AIRE,reAlpha Tech Corp. Common Stock,$1.39,-0.13,-8.553%,"7,457,005",/market-activity/stocks/aire,AIRE
AIRG,"Airgain, Inc. Common Stock",$5.99,-0.10,-1.642%,"75,927,922",/market-activity/stocks/airg,AIRG
AIRJ,AirJoule Technologies Corporation Class A Common Stock,$3.74,-0.11,-2.857%,"270,778,199",/market-activity/stocks/airj,AIRJ
AIRO,"AIRO Group Holdings, Inc. Common Stock",$6.53,0.04,0.616%,"205,340,055",/market-activity/stocks/airo,AIRO
AIRS,"AirSculpt Technologies, Inc. Common Stock",$4.45,0.29,6.971%,"313,928,280",/market-activity/stocks/airs,AIRS
AIRT,"Air T, Inc. Common Stock",$27.0225,UNCH,--,"72,866,414",/market-activity/stocks/airt,AIRT
AISP,"Airship AI Holdings, Inc. Class A Common Stock",$2.00,-0.04,-1.961%,"68,824,128",/market-activity/stocks/aisp,AISP
AIXC,"AIxCrypto Holdings, Inc. Common Stock",$0.7751,-0.1049,-11.92%,"15,684,143",/market-activity/stocks/aixc,AIXC
AKAM,"Akamai Technologies, Inc. Common Stock",$120.19,1.38,1.162%,"17,473,877,356",/market-activity/stocks/akam,AKAM
AKBA,"Akebia Therapeutics, Inc. Common Stock",$1.34,-0.06,-4.286%,"359,466,046",/market-activity/stocks/akba,AKBA
AKTS,"Aktis Oncology, Inc. Common stock",$24.89,-0.13,-0.52%,"1,375,855,656",/market-activity/stocks/akts,AKTS
ALAB,"Astera Labs, Inc. Common Stock",$303.62,-16.12,-5.042%,"52,042,878,439",/market-activity/stocks/alab,ALAB
ALBT,Avalon GloboCare Corp. Common Stock,$0.29,-0.018,-5.844%,"4,212,924",/market-activity/stocks/albt,ALBT
ALCO,"Alico, Inc. Common Stock",$40.93,-0.19,-0.462%,"303,550,264",/market-activity/stocks/alco,ALCO
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,$10.70,UNCH,--,NA,/market-activity/stocks/aldf,ALDF
ALDX,"Aldeyra Therapeutics, Inc. Common Stock",$1.69,-0.03,-1.744%,"101,942,605",/market-activity/stocks/aldx,ALDX
ALEC,"Alector, Inc. Common Stock",$1.50,0.03,2.041%,"166,537,781",/market-activity/stocks/alec,ALEC
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,$10.88,UNCH,--,NA,/market-activity/stocks/alf,ALF
ALGM,"Allegro MicroSystems, Inc. Common Stock",$46.48,-0.64,-1.358%,"8,659,645,295",/market-activity/stocks/algm,ALGM
ALGN,"Align Technology, Inc. Common Stock",$176.76,-1.65,-0.925%,"12,659,220,129",/market-activity/stocks/algn,ALGN
ALGS,"Aligos Therapeutics, Inc. Common Stock",$5.74,-0.01,-0.174%,"35,520,400",/market-activity/stocks/algs,ALGS
ALGT,Allegiant Travel Company Common Stock,$100.90,-4.51,-4.279%,"1,860,322,561",/market-activity/stocks/algt,ALGT
ALHC,"Alignment Healthcare, Inc. Common Stock",$20.60,0.57,2.846%,"4,258,716,754",/market-activity/stocks/alhc,ALHC
ALIS,Calisa Acquisition Corp Ordinary shares,$10.1629,0.0029,0.029%,NA,/market-activity/stocks/alis,ALIS
