symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
AACP,Apogee Acquisition Corp Class A Ordinary Shares,35,2026-05-28,2026-07-17,2.7542904489872075,334319.9935913086,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ACAA,Averin Capital Acquisition Corp. Class A Ordinary Shares,68,2026-04-10,2026-07-17,6.939385652100154,4476.99990272522,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,187,2025-10-17,2026-07-17,100.8410342397885,55619.99852657318,26271000.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
ACGC,ACP Holdings Acquisition Corp. Class A Ordinary Shares,35,2026-05-28,2026-07-17,1.4423814337454384,57651.997566223145,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ADAC,American Drive Acquisition Company Class A Ordinary Shares,110,2026-02-09,2026-07-17,2.0142932036866528,1984.0000152587888,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
AESP,Aeon Acquisition I Corp. Class A Ordinary Shares,12,2026-07-01,2026-07-17,,,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,184,2025-10-22,2026-07-17,132.2166366201349,896529.9829483032,577940750.0,,,小盘（0.3B–2B）,历史不足1年,历史不足1年（不进入主验证）
AGRZ,Agroz Inc. Ordinary Shares,199,2025-10-01,2026-07-17,253.8203460097413,160889.00043964386,6882714.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
AHMA,Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares,185,2025-10-21,2026-07-17,375.7311953809602,404388.0043029785,51127000.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
AIAI,AIAI Holdings Corporation Class A Common Stock,44,2026-05-14,2026-07-17,104.29467861504482,2896232.0078849792,491494790.0,,,小盘（0.3B–2B）,历史不足1年,历史不足1年（不进入主验证）
AIDX,"20/20 Biolabs, Inc. Common Stock",103,2026-02-19,2026-07-17,149.6281943502761,141236.00351810455,6341220.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
AKTS,"Aktis Oncology, Inc. Common stock",130,2026-01-09,2026-07-17,74.67946866278612,5043134.372997284,1375855656.0,,,小盘（0.3B–2B）,历史不足1年,历史不足1年（不进入主验证）
ALIS,Calisa Acquisition Corp Ordinary shares,164,2025-11-19,2026-07-17,2.416304859917547,16613.250160217285,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ALMR,"Alamar Biosciences, Inc. Common Stock",63,2026-04-17,2026-07-17,68.42164759376816,5751200.256347656,1798625277.0,,,小盘（0.3B–2B）,历史不足1年,历史不足1年（不进入主验证）
ALPX,Alpex Acquisition Corporation Class A Ordinary Shares,9,2026-07-07,2026-07-17,,,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
AMAN,Amanat Acquisition Corp Class A Ordinary Shares,41,2026-05-19,2026-07-17,4.214366998967927,426383.9967727662,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
AMSS,AMASS Brands Inc. Common Stock,40,2026-05-20,2026-07-17,244.7252289980492,410905.4888010025,14957654.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
APAC,StoneBridge Acquisition II Corporation Class A Ordinary Shares,162,2025-11-21,2026-07-17,2.1610531978562073,0.0,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
APC,ARKO Petroleum Corp. Class A Common Stock,107,2026-02-12,2026-07-17,33.7093432345531,2440812.1238708496,261209234.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
APMC,AmperCap Acquisition Company Ordinary Shares,14,2026-06-29,2026-07-17,,,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
APUR,Aperture AC Class A Ordinary Shares,39,2026-05-21,2026-07-17,5.433275709542467,45632.00035095214,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ARCL,ARC Group Acquisition I Corp Class A Ordinary Shares,34,2026-05-29,2026-07-17,3.2567661584620664,7908.000183105469,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ARTC,Art Technology Acquisition Corp. Class A Ordinary Shares,97,2026-02-27,2026-07-17,1.4544631599106197,156685.99281311035,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
ARXS,"Arxis, Inc. Class A Common Stock",64,2026-04-16,2026-07-17,68.13760641528846,34280352.86445618,17162250208.0,,,大盘（10B–200B）,历史不足1年,历史不足1年（不进入主验证）
ATCX,Atlas Critical Minerals Corporation Common Stock,130,2026-01-09,2026-07-17,120.43481872416154,180300.99902153015,15841901.0,,,微盘（<0.3B）,历史不足1年,历史不足1年（不进入主验证）
AVLN,Avalyn Pharma Inc. Common Stock,54,2026-04-30,2026-07-17,72.58451527231486,9148129.394340515,1254626589.0,,,小盘（0.3B–2B）,历史不足1年,历史不足1年（不进入主验证）
AXIN,Axiom Intelligence Acquisition Corp 1 Class A Ordinary Shares,241,2025-08-01,2026-07-17,2.5501495717564566,12239.999771118164,,,,市值未知,历史不足1年,历史不足1年（不进入主验证）
