symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
NVCR,NovoCure Limited Ordinary Shares,2514,2016-07-18,2026-07-17,77.28316413905436,18124701.1988163,1843869365.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
NVMI,Nova Ltd. Ordinary Shares,2514,2016-07-18,2026-07-17,57.766137528815555,141578622.00317383,13903778931.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
NWL,Newell Brands Inc. Common Stock,2514,2016-07-18,2026-07-17,59.94362639478308,30408567.360162735,2222372248.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
NXT,Nextpower Inc. Class A Common Stock,861,2023-02-09,2026-07-17,67.05710961470731,200165324.64752197,15635451622.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
OCUL,"Ocular Therapeutix, Inc. Common Stock",2514,2016-07-18,2026-07-17,69.94601799982837,29256931.415987015,1964074411.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
ODD,ODDITY Tech Ltd. Class A Ordinary Shares,752,2023-07-19,2026-07-17,86.89906271520267,26541631.086158752,924920383.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
OKTA,"Okta, Inc. Class A Common Stock",2331,2017-04-07,2026-07-17,56.969936603686065,253853446.1673737,25958129963.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
OMDA,"Omada Health, Inc. Common Stock",279,2025-06-06,2026-07-17,56.45621060118795,12646058.738994598,1408929616.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
ON,ON Semiconductor Corporation Common Stock,2514,2016-07-18,2026-07-17,62.89135855031404,526289398.1567383,34240581798.0,中波动,高流动性,大盘（10B–200B）,历史≥1年,高流动性－中波动
ORIC,"Oric Pharmaceuticals, Inc. Common Stock",1565,2020-04-24,2026-07-17,81.10202971366998,13398669.438028336,1110743440.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
ORKA,"Oruka Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,78.02639857849962,13684336.580371857,5590931763.0,中波动,高流动性,中盘（2B–10B）,历史≥1年,高流动性－中波动
PACB,"Pacific Biosciences of California, Inc. Common Stock",2514,2016-07-18,2026-07-17,87.09350682944354,10079684.965223074,447266431.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
PAHC,Phibro Animal Health Corporation Class A Common Stock,2514,2016-07-18,2026-07-17,58.34861000689928,11042062.31174469,1351210690.0,中波动,高流动性,小盘（0.3B–2B）,历史≥1年,高流动性－中波动
