策略特征组,标的数,历史天数中位数,年化波动率_Q25_%,年化波动率_中位数_%,年化波动率_Q75_%,日均成交额中位数,日收益_P90_%,日收益_P95_%,建议信号下限候选_%,建议信号带宽候选_%,建议止损候选_%,建议成本压力测试,入场日候选,趋势SMA候选,原始策略_有交易标的,原始策略_总交易数,原始策略_加权胜率_%,原始策略_盈利因子,原始策略_独立账户总盈亏,原始策略_独立最大回撤中位数_%
中流动性－中波动,325,2186.0,60.96548546683434,72.21860422508345,81.15999698601641,1887761.5120232103,4.8909346992808365,7.03517851839125,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",322,10002,20.51598480303939,0.9522828802975946,-83462.19,-25.380000000000003
中流动性－低波动,288,2514.0,25.98967935968679,30.797250744781316,42.071271587925224,2585432.968080044,2.4621292693717023,3.4444246610686116,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",284,10356,29.161705291618386,0.9898559231068654,-14240.979999999981,-20.284999999999997
中流动性－高波动,280,1470.0,102.09206565667454,124.65542213914765,171.40611899540633,1289451.738345623,7.826090021259691,11.930641195754925,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",278,5851,16.117132114168516,0.8505098285317162,-181628.45,-23.96
低流动性－中波动,221,2514.0,62.48305212429154,74.33744159071807,82.89021785724256,96350.00030398367,4.733723135940626,7.237724243477239,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",220,5974,16.404511215266155,0.7975077379066944,-244266.71999999994,-28.745
低流动性－低波动,162,1827.0,4.399605183095748,24.99189240507834,37.878438521226926,58140.999990701675,1.678454225666331,2.795409063975051,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",103,2920,21.780568493150685,0.6977757482264538,-137297.42,-24.38
低流动性－高波动,510,1210.5,110.03067102075877,140.68617425581851,198.3237974998347,117380.50156283379,7.042253521126751,11.561683001228277,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",508,7925,12.529740063091483,0.6316580025165603,-698176.46,-21.520000000000003
历史不足1年（不进入主验证）,272,111.0,2.5668358542667304,54.550969383250816,113.18938698427033,158177.25,4.318375069923697,7.892509211359883,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索,不进入主搜索,103,213,15.023145539906103,0.8951718347178385,-5021.349999999999,-2.0
高流动性－中波动,347,2514.0,58.84875736030424,66.04382252862762,74.69985942132669,39527751.87149048,4.7398960734694695,6.6744410173240665,"3.0, 4.0, 5.0","1.0, 1.5","3.0, 4.0, 5.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",347,12916,26.099508361721895,1.1512386941288928,337728.68000000005,-23.28
高流动性－低波动,443,2514.0,27.98091854982244,35.43205851644553,43.134052730255775,62350021.490097046,2.552579806159812,3.5948632397454707,"1.5, 2.0, 2.5","0.5, 1.0","1.5, 2.0, 2.5",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",443,18282,32.4578213543376,1.067472136566721,164324.70000000004,-20.11
高流动性－高波动,103,1527.0,102.09708087045678,112.2956424530376,129.17945717394505,34888358.08496475,8.08080825873513,11.852755474327337,"5.0, 6.0, 7.0","1.5, 2.5","5.0, 7.0, 9.0",0 bps（当前基准；成本压力测试另行进行）,"t1, t2, t3","3, 5, 8, 10",103,2386,18.90244761106455,1.3887588142288891,187904.03999999998,-22.98
