symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
AACB,data/nasdaq_10y/AACB.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
AACB,data/nasdaq_10y/AACB.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
AACP,data/nasdaq_10y/AACP.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,0,10000,10000.0,0.0,,,,,,,,,,,,
AACP,data/nasdaq_10y/AACP.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,0,10000,10000.0,0.0,,,,,,,,,,,,
AAL,data/nasdaq_10y/AAL.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,69,10000,10449.55,449.55,31.88,0.173,5.078,-2.124,2.391,1.051,-27.1,3.58,23.413,-8.378,9229.83,8780.55
AAL,data/nasdaq_10y/AAL.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,69,10000,11190.64,1190.64,31.88,0.173,5.078,-2.124,2.391,1.119,-29.23,3.58,23.413,-8.378,11171.87,9981.23
AAME,data/nasdaq_10y/AAME.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,65,10000,3491.48,-6508.52,12.31,-1.517,7.042,-2.718,2.591,0.269,-63.79,2.18,25.856,-7.063,2389.24,8897.82
AAME,data/nasdaq_10y/AAME.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,65,10000,141.44,-9858.56,12.31,-1.517,7.042,-2.718,2.591,0.364,-99.02,2.18,25.856,-7.063,5633.7,15492.26
AAOI,data/nasdaq_10y/AAOI.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,75,10000,12970.53,2970.53,21.33,0.684,12.135,-2.421,5.012,1.163,-56.66,2.65,51.641,-21.25,21141.37,18170.95
AAOI,data/nasdaq_10y/AAOI.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,75,10000,15131.3,5131.3,21.33,0.684,12.135,-2.421,5.012,1.359,-44.73,2.65,51.641,-21.25,19416.59,14285.29
AAON,data/nasdaq_10y/AAON.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,86,10000,8843.83,-1156.17,26.74,-0.084,4.604,-1.796,2.564,0.897,-31.22,3.45,13.02,-4.311,10044.01,11199.85
AAON,data/nasdaq_10y/AAON.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,86,10000,9276.37,-723.63,26.74,-0.084,4.604,-1.796,2.564,0.936,-30.77,3.45,13.02,-4.311,10588.64,11312.27
AAPL,data/nasdaq_10y/AAPL.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,63,10000,13656.22,3656.22,39.68,0.557,4.01,-1.714,2.339,1.469,-15.22,4.76,15.083,-3.67,11449.59,7793.12
AAPL,data/nasdaq_10y/AAPL.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,63,10000,13510.29,3510.29,39.68,0.557,4.01,-1.714,2.339,1.539,-14.14,4.76,15.083,-3.67,10025.04,6514.75
AARD,data/nasdaq_10y/AARD.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,5,10000,12969.73,2969.73,40.0,6.171,19.504,-2.719,7.174,4.631,-4.16,4.4,33.333,-4.156,3787.58,817.85
AARD,data/nasdaq_10y/AARD.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,5,10000,13085.3,3085.3,40.0,6.171,19.504,-2.719,7.174,4.783,-4.09,4.4,33.333,-4.156,3900.95,815.65
ABAT,data/nasdaq_10y/ABAT.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,54,10000,31174.36,21174.36,12.96,4.518,52.772,-2.669,19.776,2.179,-40.2,1.81,165.625,-9.16,39140.19,17966.18
ABAT,data/nasdaq_10y/ABAT.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,54,10000,34398.26,24398.26,12.96,4.518,52.772,-2.669,19.776,2.945,-50.58,1.81,165.625,-9.16,36940.63,12542.37
ABEO,data/nasdaq_10y/ABEO.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,62,10000,24409.46,14409.46,24.19,1.952,13.93,-1.871,7.447,1.613,-29.68,2.74,76.0,-2.79,37930.81,23521.38
ABEO,data/nasdaq_10y/ABEO.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,62,10000,22103.3,12103.3,24.19,1.952,13.93,-1.871,7.447,2.377,-13.25,2.74,76.0,-2.79,20895.31,8792.01
ABLV,data/nasdaq_10y/ABLV.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,17,10000,8466.04,-1533.96,11.76,-0.354,25.106,-3.748,6.698,0.763,-41.8,1.82,48.421,-10.519,4931.78,6465.75
ABLV,data/nasdaq_10y/ABLV.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,17,10000,9398.7,-601.3,11.76,-0.354,25.106,-3.748,6.698,0.893,-35.81,1.82,48.421,-10.519,5021.21,5622.51
ABNB,data/nasdaq_10y/ABNB.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,45,10000,8303.58,-1696.42,35.56,-0.374,2.593,-2.01,1.29,0.663,-25.3,3.42,8.956,-4.495,3337.96,5034.58
ABNB,data/nasdaq_10y/ABNB.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,45,10000,8318.46,-1681.54,35.56,-0.374,2.593,-2.01,1.29,0.712,-28.92,3.42,8.956,-4.495,4147.91,5829.45
ABOS,data/nasdaq_10y/ABOS.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,34,10000,8589.52,-1410.48,14.71,-0.359,9.006,-1.973,4.564,0.721,-26.76,2.03,17.994,-2.655,3654.05,5064.58
ABOS,data/nasdaq_10y/ABOS.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,34,10000,8780.35,-1219.65,14.71,-0.359,9.006,-1.973,4.564,0.787,-31.45,2.03,17.994,-2.655,4502.83,5722.48
ABSI,data/nasdaq_10y/ABSI.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,41,10000,29182.57,19182.57,17.07,4.632,39.974,-2.644,15.119,2.017,-37.72,2.73,142.763,-10.123,38050.68,18867.88
ABSI,data/nasdaq_10y/ABSI.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,41,10000,28992.51,18992.51,17.07,4.632,39.974,-2.644,15.119,3.113,-17.32,2.73,142.763,-10.123,27981.84,8989.33
ABTC,data/nasdaq_10y/ABTC.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,36,10000,7262.17,-2737.83,2.78,-0.265,77.907,-2.498,31.187,0.626,-40.11,1.28,77.907,-15.561,4572.87,7310.72
ABTC,data/nasdaq_10y/ABTC.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,36,10000,9047.39,-952.61,2.78,-0.265,77.907,-2.498,31.187,0.891,-50.57,1.28,77.907,-15.561,7790.7,8743.31
ABTS,data/nasdaq_10y/ABTS.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,52,10000,17648.47,7648.47,15.38,3.297,42.374,-3.809,11.126,1.251,-72.54,2.25,133.705,-49.941,38071.16,30422.63
ABTS,data/nasdaq_10y/ABTS.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,固定仓位,52,10000,27141.95,17141.95,15.38,3.297,42.374,-3.809,11.126,2.023,-43.39,2.25,133.705,-49.941,33899.31,16757.36
ABUS,data/nasdaq_10y/ABUS.csv,0.02,0.03,0.02,5,2,"3,4",True,0.0,复利,82,10000,12899.61,2899.61,18.29,0.751,12.756,-1.937,6.585,1.18,-29.03,2.74,100.0,-5.863,18975.88,16076.26
