策略分组,标的,近252日年化波动率_%,近252日日均成交额,近20日收益_%,近60日收益_%,收盘相对SMA50_%,历史交易日数,交易数,胜率 (%),盈利因子,最大回撤 (%),累计收益率 (%)
高流动性－低波动,ARCC,19.639566553634477,102893497.63174057,6.322791715104126,0.36649054149826554,2.5715111888243936,2514,5,60.0,0.851,-1.41,-0.2198999999999951
高流动性－低波动,ASO,42.83373187229352,75300285.35957336,-6.619066625580028,-16.912778167827945,-3.357233919045055,1453,10,30.0,1.646,-6.93,9.4997
高流动性－低波动,ATRC,47.130591948774864,18563320.693969727,21.354172530549697,26.492949057222326,19.63770049481859,2514,18,16.67,0.332,-23.15,-26.292199999999998
高流动性－低波动,AUPH,43.65296773282194,17418252.210521698,-3.0376614467576224,-2.8014618514593637,-0.38385880880504875,2514,11,0.0,0.0,-23.83,-27.5069
高流动性－低波动,AVGO,47.29112133748967,7840821703.997803,-9.850496883438286,-12.260737743417671,-7.969936798205801,2514,19,21.05,0.687,-16.08,-9.294899999999995
高流动性－低波动,AVPT,45.79213515754051,19457540.41056633,26.99328012300841,29.101567993348134,20.001817508550413,1682,11,18.18,1.144,-12.96,2.718700000000007
高流动性－低波动,AVT,34.86544972873977,52241365.14892578,-6.362741464036336,13.248716959338648,-1.108186521705501,2514,19,21.05,0.229,-21.58,-19.0183
高流动性－低波动,AXSM,42.40030703994776,91030928.88793945,-8.183632734530944,23.377321241876526,-2.924832757593121,2514,11,18.18,6.573,-37.06,239.21339999999995
高流动性－低波动,BANF,27.052103417895957,13801890.587615967,4.339234513514523,1.9308380736375197,3.456261423414375,2514,12,16.67,0.433,-9.46,-10.906900000000007
高流动性－低波动,BANR,25.882386205096076,13817706.9065094,9.640598216065666,11.778584149228033,7.662714808835469,2514,13,23.08,1.164,-10.54,2.1731999999999863
高流动性－低波动,BATRK,19.39707901420623,13157973.734855652,2.54068827344065,5.92577273430881,1.628095209201641,2514,12,41.67,2.215,-3.15,10.372300000000001
高流动性－低波动,BBIO,48.592270916485326,142417978.24497223,22.80066602648978,9.322937378292506,14.711968206603654,1773,9,33.33,4.902,-4.58,60.4244
高流动性－低波动,BCPC,21.263630261987952,27739019.73953247,-1.548934482757669,-6.74772631671191,0.31652167384497165,2514,16,12.5,0.196,-18.37,-23.033500000000007
高流动性－低波动,BCRX,47.03063019605467,30876720.52810192,3.3370433634343666,3.107655114964847,1.1982568753274858,2514,7,14.29,1.735,-10.37,10.999500000000006
高流动性－低波动,BFC,27.319820573649583,10738386.611175537,2.7684415543860252,5.496797674437248,1.5062244204323783,2514,14,35.71,0.549,-10.35,-7.1457
高流动性－低波动,BGC,31.380544698652336,25096321.91324234,-6.224066291523123,-0.7029870202245103,1.180138367160466,2514,19,21.05,0.787,-14.34,-5.428500000000003
高流动性－低波动,BIIB,35.82152435584075,219592839.0701294,4.786857042659198,8.375860238585275,3.6101359148209333,2514,15,20.0,0.51,-18.9,-12.564500000000011
高流动性－低波动,BJRI,42.88973004906645,15997348.17123413,23.72135436789835,74.21268698933254,32.71481948822404,2514,14,0.0,0.0,-28.68,-29.5276
高流动性－低波动,BKNG,34.03843649434975,1208436848.2589722,5.763181957641006,1.2709023728353364,7.087404124094632,2514,15,26.67,0.404,-20.1,-14.8702
