策略分组,比较组,标的数,交易数,平均标的胜率 (%),平均标的累计收益 (%),平均最大回撤 (%),平均年化波动率 (%),成交额中位数,平均近20日收益 (%),平均近60日收益 (%),平均相对SMA50 (%),平均历史交易日数
高流动性－低波动,高胜率（≥50%）,22,253,55.33363636363637,19.642972727272724,-5.731363636363636,33.487249807499104,127874327.15153694,5.77942515915308,6.105166949247663,4.160417333661084,2181.9545454545455
高流动性－低波动,低胜率（≤20%）,124,1679,12.351774193548387,-12.21776612903226,-18.272741935483864,36.83427433108707,52905466.10643864,7.349784136948883,7.773742410339378,5.609556833055242,2298.9596774193546
高流动性－低波动,盈利标的,217,3183,34.601520737327185,19.12945253456221,-9.211244239631336,35.98893794296466,67766091.10069275,6.110916765284117,7.35147589421089,4.38066617350833,2339.52534562212
高流动性－低波动,亏损标的,224,3232,20.244910714285712,-12.874876785714283,-16.71441964285714,35.071620649261654,56893611.67926788,5.930968941493449,6.015989935271958,4.4573865277672144,2353.8303571428573
高流动性－中波动,高胜率（≥50%）,67,431,58.9579104477612,29.44705373134328,-5.5510447761194035,67.97549593856326,51867408.07342529,1.4663552343850874,11.857162440061124,1.0812769106405027,2115.402985074627
高流动性－中波动,低胜率（≤20%）,86,590,9.852790697674418,-17.01802093023256,-19.129186046511624,67.98051500438743,28388211.67099476,5.366989928975495,11.592503970166584,3.9366832382305397,2021.1162790697674
高流动性－中波动,盈利标的,141,1096,44.56127659574468,27.323201418439716,-8.74290780141844,68.09878227181909,52823323.32572937,-1.3009281129204868,11.71705356090325,-0.3264455620288475,2181.404255319149
高流动性－中波动,亏损标的,159,1154,20.628490566037737,-15.566222641509434,-17.43176100628931,66.40653609624998,34015236.60386658,2.962005009378109,12.487543562511087,3.121452472699315,2098.4654088050315
高流动性－高波动,高胜率（≥50%）,7,27,65.47714285714287,127.63551428571428,-3.501428571428572,118.56369787494717,46295999.01151657,-17.535373713718553,-20.52558732846836,-14.880784298042402,2090.285714285714
高流动性－高波动,低胜率（≤20%）,19,78,2.9826315789473683,-17.70478947368421,-15.206842105263158,139.44652977268035,24402079.27391827,-16.707103093679997,12.71540334731847,-12.763513953065784,1943.578947368421
高流动性－高波动,盈利标的,14,57,47.737857142857145,77.89594285714288,-4.767142857142858,114.5104999817363,29775896.699738503,-10.589516779069154,-3.192590583301057,-10.383323939272529,2089.785714285714
高流动性－高波动,亏损标的,24,98,8.620833333333334,-16.193208333333335,-14.34625,138.2695936569539,34674806.43025398,-22.59398461425843,-6.496756353102135,-18.850567550795144,1983.5
中流动性－低波动,高胜率（≥50%）,19,170,55.20157894736842,20.963900000000002,-3.477368421052632,31.227939293845424,2960140.9284591675,4.843229237785326,8.424174093258655,4.0007931145697855,2281.157894736842
中流动性－低波动,低胜率（≤20%）,128,1313,10.416796875000001,-7.45812109375,-14.280624999999999,34.987552551468426,2372223.281812668,4.710757204314854,6.58154022408137,4.20481318614876,2323.34375
中流动性－低波动,盈利标的,106,1107,33.68528301886792,20.624680188679246,-6.7644339622641505,34.35107625035809,3173536.691790819,4.1249744667386485,8.669871020034673,4.105003397166276,2398.169811320755
中流动性－低波动,亏损标的,165,1708,15.359636363636364,-11.05474606060606,-13.40878787878788,33.888914501840766,2476527.8930187225,5.2882245879977585,7.846071174785313,4.72018381796046,2326.860606060606
中流动性－中波动,高胜率（≥50%）,4,41,56.945,87.40282499999999,-4.6925,69.44667875454581,1993970.987445116,-11.367694015413257,-22.684906242239535,-12.462958866818518,1668.0
中流动性－中波动,低胜率（≤20%）,179,2292,9.782067039106147,-11.780956424581003,-25.370055865921785,72.44175045295165,1446563.4573936462,1.1323882929528286,-1.4690909874843154,-1.2567140005739583,1900.0614525139665
中流动性－中波动,盈利标的,125,1708,27.906560000000002,41.009668,-13.503359999999999,70.65515671552814,2302733.5325717926,4.01697711542396,4.953778454937126,0.9238797447252589,2024.856
中流动性－中波动,亏损标的,184,2501,11.766195652173913,-22.124190217391302,-27.039945652173916,71.5906545742574,1534351.2784600258,-0.06458786269200098,-0.2605317213658404,-1.4988772629170461,1936.0815217391305
中流动性－高波动,高胜率（≥50%）,14,51,57.85857142857143,31.381264285714288,-5.727857142857142,120.6604107553748,2116227.484411001,1.6834956106310148,-7.507130990084467,-10.772594238910768,1790.0714285714287
中流动性－高波动,低胜率（≤20%）,89,482,6.764044943820225,-10.861760674157303,-18.87011235955056,137.18379237522535,1138272.0180630684,-9.615428777887331,-16.106882792568605,-13.892682065875304,2039.629213483146
中流动性－高波动,盈利标的,51,272,35.85980392156863,92.97785490196077,-9.125686274509803,140.62895157900428,1812256.994152069,-5.964242616417568,3.5878475980015656,-10.390211997122446,2036.235294117647
