策略分组,比较组,标的数,交易数,平均标的胜率 (%),平均标的累计收益 (%),平均最大回撤 (%),平均年化波动率 (%),成交额中位数,平均近20日收益 (%),平均近60日收益 (%),平均相对SMA50 (%),平均历史交易日数
中流动性－高波动,亏损标的,116,613,13.22905172413793,-17.989884482758615,-18.099482758620688,135.6599359061906,1405539.0082001686,-8.87258302815957,-8.410559940144365,-12.261735285708035,2072.043103448276
低流动性－低波动,高胜率（≥50%）,4,40,53.3425,12.871349999999998,-5.73,32.61022849616858,30864.299964904785,1.1175812849457123,7.239348448602845,2.476740889384333,2167.25
低流动性－低波动,低胜率（≤20%）,27,397,14.225925925925928,-21.895311111111116,-22.450000000000003,38.224416842597684,74947.4995136261,2.583182592236287,7.339308870189256,3.2265585542139936,2337.777777777778
低流动性－低波动,盈利标的,33,515,35.981515151515154,20.145078787878788,-9.475757575757576,31.900189972477687,97056.00080490112,3.123020521646737,7.234022799962911,3.747459807933417,2249.909090909091
低流动性－低波动,亏损标的,62,991,22.758064516129036,-15.115487096774196,-18.548225806451608,35.902822009176084,91429.24929261208,1.8426734534827571,5.2861052871459755,2.6292095266413438,2331.8548387096776
低流动性－中波动,高胜率（≥50%）,11,63,58.1709090909091,29.859472727272735,-4.111818181818182,70.66320335550934,147169.9995279312,1.7625245559626919,-2.196120345938314,0.18184002625391846,2281.818181818182
低流动性－中波动,低胜率（≤20%）,106,688,7.590471698113208,-15.095358490566039,-16.416037735849056,71.40518021050293,93549.00050759315,-2.0699899723982798,-6.4631486999098495,-3.602559966968239,2198.1132075471696
低流动性－中波动,盈利标的,41,297,37.49048780487805,57.274497560975604,-7.617317073170732,72.95453673546538,138021.00076675415,1.0268016021235074,-3.8697016929734294,-1.5334594506584764,2191.170731707317
低流动性－中波动,亏损标的,130,879,11.998307692307694,-16.657061538461544,-16.706615384615382,71.46553144459023,94972.75160551071,-2.8658497413659916,-7.99811612792909,-4.536802971511792,2226.130769230769
低流动性－高波动,高胜率（≥50%）,32,144,59.69562500000001,45.47168125,-7.133125,143.2103989017736,125676.84010314941,-6.2615067170454815,-18.363641486217563,-14.895323560729796,2067.625
低流动性－高波动,低胜率（≤20%）,92,470,7.193804347826086,-25.882994565217395,-25.832608695652176,160.09995512255745,112838.51677030325,-10.146397021954204,-4.821826905477311,-14.058293954998184,1989.8695652173913
低流动性－高波动,盈利标的,65,318,44.41984615384615,48.489033846153845,-9.835692307692307,152.58622680615815,125913.99989128113,-7.022255948882766,-13.532546251345394,-11.797161248787646,2030.0307692307692
低流动性－高波动,亏损标的,131,649,15.231221374045802,-24.3637572519084,-24.289236641221375,178.99955751937097,128469.00103092194,-7.1833578525217305,44.7799153930194,-12.016968200041752,1959.854961832061
