signal_lo_pct,signal_hi_pct,entry_day,early_stop_days,stop_pct,sma_n,cost_bps,symbols,trades,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,total_pnl_independent,profitable_symbols,avg_days_held,max_trade_win_pct,max_trade_loss_pct,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
5.0,6.5,t3,"t4,t5",9.0,3,5.0,103,2641,36.91783415372965,1.1080465732677014,13.542213333333333,-6.168851740696278,2.19525673538149,1.4548655759762577,571607.3699999996,44,3.523286633850814,283.233,-31.767,-36.32,-50.040000000000006,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,8,5.0,103,1814,25.744211686879826,1.4511951488423382,22.54419271948609,-5.861670378619152,3.846035560395479,1.4309526935553412,363194.59,41,4.529217199558985,395.83,-53.109,-36.29,-46.32,False
5.0,6.5,t3,"t4,t5",7.000000000000001,3,5.0,103,2657,35.30297327813323,1.121648475724501,13.583083155650325,-5.678133798720185,2.392173843932995,1.4022181776590195,465570.00999999983,46,3.281520511855476,283.233,-31.767,-36.33,-47.995000000000005,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,10,5.0,103,1799,23.346303501945524,1.6797204002223458,26.3625238095238,-5.837884699057288,4.515766440844724,1.4011517604413324,342165.8799999999,39,4.987215119510839,394.304,-53.109,-36.77,-46.835,False
7.000000000000001,8.5,t1,"t2,t3",9.0,8,5.0,103,1800,27.22222222222222,1.403663333333333,22.0814,-6.3307572519083966,3.4879555669811215,1.3845277161590837,335148.1499999999,40,4.885555555555555,395.83,-53.109,-38.69,-50.78,False
5.0,6.5,t3,"t4,t5",9.0,5,5.0,103,2631,34.32155074116305,1.09456632459141,14.763368770764128,-6.048332175925927,2.440899134066497,1.3814389155148077,442435.8900000003,45,4.073356138350437,305.21,-51.007,-40.55,-52.974999999999994,False
5.0,6.5,t3,"t4,t5",7.000000000000001,10,5.0,103,2580,24.8062015503876,1.5756236434108528,22.648143749999996,-5.37613556701031,4.212718125818155,1.3806827390402117,431368.3499999997,55,5.135658914728682,352.259,-51.007,-38.78,-53.84,False
5.0,6.5,t3,"t4,t5",9.0,10,5.0,103,2560,26.015624999999996,1.6983175781250004,22.95487237237236,-5.776268215417105,3.9739969676451024,1.3781578925243152,452030.36,55,5.484375,352.259,-51.007,-38.68,-56.11,False
5.0,6.5,t3,"t4,t5",7.000000000000001,5,5.0,103,2649,32.76708191770479,1.0486798791996979,14.641769585253464,-5.5761386861313875,2.625790068971837,1.3626758105813,394560.4899999999,49,3.7987919969799924,305.21,-51.007,-37.37,-49.19,False
7.000000000000001,8.5,t1,"t2,t3",9.0,10,5.0,103,1785,24.92997198879552,1.6684319327731094,25.676617977528096,-6.30443582089552,4.072786004486732,1.3591291843761482,320031.6599999997,39,5.382633053221289,394.304,-53.109,-38.59,-52.675,False
7.000000000000001,8.5,t1,"t2,t3",5.0,8,5.0,103,1825,22.575342465753426,1.1504115068493153,22.161390776699033,-4.975932059447981,4.4537165121899935,1.356284999687864,255512.0600000001,42,3.913972602739726,395.83,-53.109,-33.37,-42.129999999999995,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,5,5.0,103,1835,30.408719346049047,1.338441961852861,18.00946594982079,-5.946155833985904,3.028757814735651,1.3532080324120175,296687.86,44,3.710626702997275,395.83,-53.109,-31.83,-46.45,False
