signal_lo_pct,signal_hi_pct,entry_day,early_stop_days,stop_pct,sma_n,cost_bps,symbols,trades,win_rate_pct,profit_factor,total_pnl_independent,profitable_symbols,median_individual_max_drawdown_pct,q25_individual_max_drawdown_pct,passes_15pct_drawdown_proxy
5.0,6.5,t3,"t4,t5",9.0,3,5.0,103,2641,36.91783415372965,1.4548655759762577,571607.3699999996,44,-36.32,-50.040000000000006,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,8,5.0,103,1814,25.744211686879826,1.4309526935553412,363194.59,41,-36.29,-46.32,False
5.0,6.5,t3,"t4,t5",7.000000000000001,3,5.0,103,2657,35.30297327813323,1.4022181776590195,465570.00999999983,46,-36.33,-47.995000000000005,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,10,5.0,103,1799,23.346303501945524,1.4011517604413324,342165.8799999999,39,-36.77,-46.835,False
7.000000000000001,8.5,t1,"t2,t3",9.0,8,5.0,103,1800,27.22222222222222,1.3845277161590837,335148.1499999999,40,-38.69,-50.78,False
5.0,6.5,t3,"t4,t5",9.0,5,5.0,103,2631,34.32155074116305,1.3814389155148077,442435.8900000003,45,-40.55,-52.974999999999994,False
5.0,6.5,t3,"t4,t5",7.000000000000001,10,5.0,103,2580,24.8062015503876,1.3806827390402117,431368.3499999997,55,-38.78,-53.84,False
5.0,6.5,t3,"t4,t5",9.0,10,5.0,103,2560,26.015624999999996,1.3781578925243152,452030.36,55,-38.68,-56.11,False
5.0,6.5,t3,"t4,t5",7.000000000000001,5,5.0,103,2649,32.76708191770479,1.3626758105813,394560.4899999999,49,-37.37,-49.19,False
7.000000000000001,8.5,t1,"t2,t3",9.0,10,5.0,103,1785,24.92997198879552,1.3591291843761482,320031.6599999997,39,-38.59,-52.675,False
7.000000000000001,8.5,t1,"t2,t3",5.0,8,5.0,103,1825,22.575342465753426,1.356284999687864,255512.0600000001,42,-33.37,-42.129999999999995,False
7.000000000000001,8.5,t1,"t2,t3",7.000000000000001,5,5.0,103,1835,30.408719346049047,1.3532080324120175,296687.86,44,-31.83,-46.45,False
7.000000000000001,8.5,t1,"t2,t3",5.0,10,5.0,103,1810,20.22099447513812,1.3303942871522125,240459.44999999998,42,-33.53,-42.400000000000006,False
5.0,6.5,t3,"t4,t5",7.000000000000001,8,5.0,103,2612,27.029096477794795,1.326237336026811,361607.4999999999,49,-40.13,-52.535,False
5.0,6.5,t3,"t4,t5",9.0,8,5.0,103,2593,28.461241804859238,1.3090487441065926,354540.35000000015,50,-41.99,-55.269999999999996,False
5.0,6.5,t1,"t2,t3",9.0,10,5.0,103,2754,24.509803921568626,1.3001809153174462,361551.7200000001,43,-48.18,-58.435,False
5.0,6.5,t3,"t4,t5",5.0,3,5.0,103,2681,30.39910481163745,1.2985187187533607,295764.3299999999,42,-38.07,-48.05,False
7.000000000000001,8.5,t2,"t3,t4",5.0,5,5.0,103,1799,27.237354085603112,1.2950160320842106,224915.30999999994,40,-28.49,-41.165,False
7.000000000000001,8.5,t1,"t2,t3",9.0,5,5.0,103,1821,32.23503569467326,1.2945852139243934,256718.82999999987,45,-35.53,-48.13,False
5.0,6.5,t1,"t2,t3",9.0,8,5.0,103,2778,26.63786897048236,1.2802695834820013,337784.9800000001,45,-46.33,-60.17,False
7.000000000000001,8.5,t1,"t2,t3",5.0,5,5.0,103,1846,26.543878656554714,1.2705216377591777,192424.21,42,-30.29,-41.455,False
5.0,7.5,t1,"t2,t3",9.0,10,5.0,103,3849,24.863600935307872,1.2620645457387993,447875.41999999987,47,-57.29,-70.975,False
7.000000000000001,9.5,t1,"t2,t3",7.000000000000001,8,5.0,103,2618,24.75171886936593,1.2595840294798408,314679.2900000001,32,-46.78,-59.285,False
6.0,8.5,t2,"t3,t4",5.0,10,5.0,103,3046,20.81418253447144,1.253999588116206,327467.2199999999,41,-43.71,-58.56,False
5.0,7.5,t1,"t2,t3",7.000000000000001,10,5.0,103,3883,23.512747875354105,1.2356289184516873,381095.1699999999,45,-55.44,-68.11500000000001,False
5.0,6.5,t3,"t4,t5",5.0,5,5.0,103,2675,28.261682242990656,1.2328848803998549,217987.54000000007,42,-37.84,-49.63,False
6.0,8.5,t3,"t4,t5",9.0,10,5.0,103,2837,25.590412407472684,1.2324209817172602,298822.71000000014,44,-46.33,-65.045,False
6.0,8.5,t2,"t3,t4",7.000000000000001,10,5.0,103,3005,23.926788685524127,1.2268693197162348,338442.05999999994,43,-49.15,-62.010000000000005,False
7.000000000000001,9.5,t1,"t2,t3",7.000000000000001,5,5.0,103,2662,29.489105935386927,1.224330326512806,271618.7800000002,35,-45.25,-55.89,False
7.000000000000001,9.5,t1,"t2,t3",7.000000000000001,10,5.0,103,2591,22.462369741412584,1.2224954148342815,263746.22,38,-47.7,-58.64,False
7.000000000000001,9.5,t1,"t2,t3",5.0,8,5.0,103,2644,21.82299546142209,1.2201438237436224,229580.52999999994,37,-43.74,-56.61,False
5.0,6.5,t1,"t2,t3",7.000000000000001,10,5.0,103,2771,23.31288343558282,1.217029732000917,240292.87,42,-47.66,-57.785,False
7.000000000000001,9.5,t1,"t2,t3",9.0,8,5.0,103,2594,26.09868928296068,1.2166981228663938,269747.4500000001,38,-47.92,-63.724999999999994,False
7.000000000000001,8.5,t2,"t3,t4",7.000000000000001,5,5.0,103,1792,31.138392857142854,1.2161926488620518,183291.60000000006,41,-32.79,-45.25,False
