screen,symbol,source,band_lo,band_hi,stop_pct,sma_n,entry_lag,hard_stop_days,stop_intraday,cost_bps,mode,n_trades,initial_capital,final_equity,total_pnl,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,max_drawdown_pct,avg_days_held,max_win_pct,max_loss_pct,gross_profit,gross_loss
复利；至少20笔交易；按盈利因子降序,AMKR,data/nasdaq_10y/AMKR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,46,10000,27275.18,17275.18,41.3,2.494,9.433,-2.389,3.948,2.739,-13.42,4.54,38.253,-6.87,27208.29,9932.51
复利；至少20笔交易；按盈利因子降序,HNST,data/nasdaq_10y/HNST.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,17497.71,7497.71,30.0,4.659,23.388,-3.368,6.945,2.675,-29.64,3.9,100.242,-21.477,11973.22,4475.58
复利；至少20笔交易；按盈利因子降序,CCNE,data/nasdaq_10y/CCNE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,48,10000,20199.68,10199.68,43.75,1.609,5.662,-1.544,3.666,2.662,-10.28,4.52,19.402,-3.885,16335.23,6135.33
复利；至少20笔交易；按盈利因子降序,ANNX,data/nasdaq_10y/ANNX.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,21,10000,15636.86,5636.86,28.57,2.852,15.03,-2.018,7.446,2.617,-11.42,2.48,62.816,-2.277,9121.91,3485.09
复利；至少20笔交易；按盈利因子降序,RELY,data/nasdaq_10y/RELY.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,23,10000,15218.01,5218.01,30.43,2.226,11.761,-1.946,6.045,2.615,-18.37,3.65,31.388,-4.116,8449.45,3231.6
复利；至少20笔交易；按盈利因子降序,UPWK,data/nasdaq_10y/UPWK.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,34,10000,24125.75,14125.75,32.35,3.409,14.967,-2.118,7.067,2.6,-15.76,3.41,69.782,-3.424,22954.6,8829.15
复利；至少20笔交易；按盈利因子降序,NVCR,data/nasdaq_10y/NVCR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,61,10000,36274.91,26274.91,36.07,2.473,10.197,-1.884,5.413,2.589,-12.94,3.43,50.028,-3.125,42807.58,16532.66
复利；至少20笔交易；按盈利因子降序,AMTX,data/nasdaq_10y/AMTX.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,31,10000,21780.19,11780.19,19.35,3.991,30.479,-2.367,12.878,2.577,-27.29,2.55,103.293,-6.977,19248.6,7467.97
复利；至少20笔交易；按盈利因子降序,ATRO,data/nasdaq_10y/ATRO.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,45,10000,18072.76,8072.76,35.56,1.524,7.367,-1.699,4.335,2.53,-15.28,4.51,36.534,-4.316,13350.86,5277.99
复利；至少20笔交易；按盈利因子降序,WDC,data/nasdaq_10y/WDC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,38,10000,20108.76,10108.76,50.0,2.046,6.375,-2.283,2.792,2.516,-8.5,4.82,25.494,-3.787,16774.28,6665.77
复利；至少20笔交易；按盈利因子降序,EVRG,data/nasdaq_10y/EVRG.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,11783.97,1783.97,50.0,0.867,2.807,-1.074,2.614,2.502,-3.96,5.55,10.78,-2.0,2971.28,1187.38
复利；至少20笔交易；按盈利因子降序,HUT,data/nasdaq_10y/HUT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,19341.72,9341.72,20.0,4.793,31.785,-1.956,16.254,2.477,-21.56,2.5,92.689,-3.213,15665.86,6323.98
复利；至少20笔交易；按盈利因子降序,BSRR,data/nasdaq_10y/BSRR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,31,10000,16109.41,6109.41,45.16,1.748,5.825,-1.61,3.619,2.475,-12.32,4.9,27.703,-5.236,10252.99,4143.35
复利；至少20笔交易；按盈利因子降序,NEXT,data/nasdaq_10y/NEXT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,42,10000,22034.06,12034.06,33.33,2.637,11.894,-1.992,5.971,2.47,-20.97,3.21,88.938,-4.154,20220.78,8187.31
复利；至少20笔交易；按盈利因子降序,SRCE,data/nasdaq_10y/SRCE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,41,10000,14510.14,4510.14,53.66,0.951,2.889,-1.292,2.236,2.466,-6.37,4.59,10.899,-2.0,7587.71,3077.1
复利；至少20笔交易；按盈利因子降序,COKE,data/nasdaq_10y/COKE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,46,10000,23637.12,13637.12,41.3,2.179,8.06,-1.959,4.114,2.451,-11.59,4.33,39.139,-3.679,23034.49,9397.31
复利；至少20笔交易；按盈利因子降序,HCKT,data/nasdaq_10y/HCKT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,31,10000,15665.77,5665.77,54.84,1.534,4.341,-1.874,2.316,2.44,-9.46,5.42,11.18,-4.382,9600.6,3934.98
复利；至少20笔交易；按盈利因子降序,AMD,data/nasdaq_10y/AMD.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,55,10000,34242.14,24242.14,40.0,2.711,10.369,-2.394,4.332,2.437,-13.08,4.11,49.745,-7.085,41107.2,16865.65
复利；至少20笔交易；按盈利因子降序,MSTR,data/nasdaq_10y/MSTR.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,26,10000,21327.84,11327.84,26.92,3.868,20.019,-2.083,9.612,2.427,-15.93,3.62,76.211,-4.457,19264.73,7936.88
复利；至少20笔交易；按盈利因子降序,HAFC,data/nasdaq_10y/HAFC.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,38,10000,16620.61,6620.61,42.11,1.468,5.775,-1.664,3.471,2.394,-12.89,4.11,19.618,-2.0,11368.56,4748.01
复利；至少20笔交易；按盈利因子降序,NVDA,data/nasdaq_10y/NVDA.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,54,10000,25049.33,15049.33,38.89,1.9,7.88,-1.905,4.136,2.383,-21.19,4.54,26.261,-4.847,25934.91,10885.34
复利；至少20笔交易；按盈利因子降序,APEI,data/nasdaq_10y/APEI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,29,10000,16339.04,6339.04,31.03,1.944,10.39,-1.857,5.596,2.37,-14.31,4.03,23.418,-4.195,10966.53,4627.56
复利；至少20笔交易；按盈利因子降序,GOOGL,data/nasdaq_10y/GOOGL.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,14762.69,4762.69,48.72,1.067,3.789,-1.518,2.495,2.332,-13.09,4.82,12.846,-2.576,8337.7,3574.99
复利；至少20笔交易；按盈利因子降序,STRT,data/nasdaq_10y/STRT.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,54,10000,21949.46,11949.46,35.19,1.726,8.318,-1.853,4.49,2.331,-19.24,3.41,39.351,-3.581,20926.33,8976.76
复利；至少20笔交易；按盈利因子降序,SLDB,data/nasdaq_10y/SLDB.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,28,10000,25044.33,15044.33,32.14,4.592,19.449,-2.446,7.951,2.326,-19.46,3.71,101.751,-10.037,26387.55,11343.13
复利；至少20笔交易；按盈利因子降序,VIAV,data/nasdaq_10y/VIAV.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,50,10000,16627.4,6627.4,40.0,1.133,5.132,-1.534,3.346,2.31,-10.37,4.56,27.214,-2.623,11686.56,5059.09
复利；至少20笔交易；按盈利因子降序,TUSK,data/nasdaq_10y/TUSK.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,30,10000,16209.0,6209.0,36.67,1.785,8.423,-2.058,4.092,2.3,-13.22,3.97,16.327,-4.969,10986.56,4777.41
复利；至少20笔交易；按盈利因子降序,APGE,data/nasdaq_10y/APGE.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,20,10000,15720.72,5720.72,15.0,3.281,31.734,-1.74,18.242,2.296,-10.62,2.6,75.054,-2.77,10133.4,4412.79
复利；至少20笔交易；按盈利因子降序,BOKF,data/nasdaq_10y/BOKF.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,34,10000,13893.79,3893.79,55.88,1.018,3.224,-1.777,1.814,2.291,-7.24,4.71,8.468,-3.393,6910.63,3016.62
复利；至少20笔交易；按盈利因子降序,PLUS,data/nasdaq_10y/PLUS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,39,10000,17874.17,7874.17,43.59,1.647,6.29,-1.941,3.241,2.266,-13.47,5.21,19.356,-4.838,14091.74,6217.43
复利；至少20笔交易；按盈利因子降序,NVMI,data/nasdaq_10y/NVMI.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,58,10000,20540.32,10540.32,39.66,1.408,6.408,-1.878,3.412,2.251,-21.06,4.21,29.643,-2.871,18963.96,8423.66
复利；至少20笔交易；按盈利因子降序,APP,data/nasdaq_10y/APP.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,24,10000,15513.87,5513.87,33.33,2.288,11.311,-2.223,5.087,2.25,-15.53,3.83,38.227,-6.55,9925.55,4411.85
复利；至少20笔交易；按盈利因子降序,WULF,data/nasdaq_10y/WULF.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,37,10000,20379.94,10379.94,21.62,2.86,21.104,-2.173,9.71,2.248,-14.69,2.54,96.069,-4.697,18699.76,8320.04
复利；至少20笔交易；按盈利因子降序,MVIS,data/nasdaq_10y/MVIS.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,25,10000,17189.14,7189.14,28.0,2.983,16.088,-2.113,7.614,2.23,-15.81,2.8,70.642,-3.623,13036.09,5846.86
复利；至少20笔交易；按盈利因子降序,ARQ,data/nasdaq_10y/ARQ.csv,0.02,0.025,0.02,5,2,"3,4",True,0.0,复利,35,10000,17011.27,7011.27,22.86,2.123,16.247,-2.062,7.878,2.213,-21.08,3.23,71.47,-5.671,12792.65,5781.35
